args.agent_parallelism:True
start with agent
start with agent
model:/home/xiaoxiang/data/Llama-3.1-8B
0 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: None
3 vllm/config.py scheduler_config.py __init__ max_num_batched_tokens: 1536
INFO 10-28 15:48:04 config.py:1061] Chunked prefill is enabled with max_num_batched_tokens=1536.
INFO 10-28 15:48:04 llm_engine.py:238] Initializing an LLM engine (v0.6.3.post2.dev36+g855e0e6f) with config: model='/home/xiaoxiang/data/Llama-3.1-8B', speculative_config=None, tokenizer='/home/xiaoxiang/data/Llama-3.1-8B', skip_tokenizer_init=False, tokenizer_mode=auto, revision=None, override_neuron_config=None, rope_scaling=None, rope_theta=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=131072, download_dir=None, load_format=LoadFormat.AUTO, tensor_parallel_size=1, pipeline_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, quantization_param_path=None, device_config=cuda, decoding_config=DecodingConfig(guided_decoding_backend='outlines'), observability_config=ObservabilityConfig(otlp_traces_endpoint=None, collect_model_forward_time=False, collect_model_execute_time=False), seed=0, served_model_name=/home/xiaoxiang/data/Llama-3.1-8B, num_scheduler_steps=1, chunked_prefill_enabled=True multi_step_stream_outputs=True, enable_prefix_caching=True, use_async_output_proc=True, use_cached_outputs=False, mm_processor_kwargs=None)
INFO 10-28 15:48:06 model_runner.py:1055] Starting to load model /home/xiaoxiang/data/Llama-3.1-8B...
Loading safetensors checkpoint shards:   0% Completed | 0/4 [00:00<?, ?it/s]
Loading safetensors checkpoint shards:  25% Completed | 1/4 [00:01<00:04,  1.63s/it]
Loading safetensors checkpoint shards:  50% Completed | 2/4 [00:03<00:03,  1.63s/it]
Loading safetensors checkpoint shards:  75% Completed | 3/4 [00:04<00:01,  1.64s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.20s/it]
Loading safetensors checkpoint shards: 100% Completed | 4/4 [00:05<00:00,  1.36s/it]

INFO 10-28 15:48:12 model_runner.py:1066] Loading model weights took 14.9888 GB
INFO 10-28 15:48:13 worker.py:260] Memory profiling results: total_gpu_memory=79.15GiB initial_memory_usage=15.50GiB peak_torch_memory=16.17GiB memory_usage_post_profile=15.53Gib non_torch_memory=0.54GiB kv_cache_size=54.53GiB gpu_memory_utilization=0.90
INFO 10-28 15:48:13 gpu_executor.py:122] # GPU blocks: 27917, # CPU blocks: 2048
INFO 10-28 15:48:13 gpu_executor.py:126] Maximum concurrency for 131072 tokens per request: 3.41x
INFO 10-28 15:48:15 model_runner.py:1394] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 10-28 15:48:15 model_runner.py:1398] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 10-28 15:48:28 model_runner.py:1522] Graph capturing finished in 13 secs.
/home/xiaoxiang/vllm/agent/agent.py:87: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  warm_up(engine)
/home/xiaoxiang/vllm/agent/agent.py:774: DeprecationWarning: The keyword arguments {'inputs'} are deprecated and will be removed in a future update. Please use the 'prompt' parameter instead.
  with_agent_optimized(args, prompts)
len(prompt):118
start warm up
finish warm up
max_token:256 and agent_tokens:64
1 with agent len(reqs):2
need_r1_react_num:2 and need_r2_react_num:1
need_r1_react_num:2 and need_r2_react_num:1
4.2 one step time:0.12054800987243652
INFO 10-28 15:48:35 metrics.py:363] Avg prompt throughput: 279.1 tokens/s, Avg generation throughput: 4.7 tokens/s, Running: 2 reqs, Swapped: 0 reqs, Pending: 1 reqs, GPU KV cache usage: 0.5%, CPU KV cache usage: 0.0%.
INFO 10-28 15:48:35 metrics.py:379] Prefix cache hit rate: GPU: 0.51%, CPU: 0.00%
4.2 one step time:0.1055450439453125
4.2 one step time:0.08220243453979492
4.2 one step time:0.03906393051147461
4.2 one step time:0.03206801414489746
4.2 one step time:0.012630939483642578
4.2 one step time:0.03200411796569824
4.2 one step time:0.012535333633422852
14 finished[-1]:{'request_id': '1', 'total_duration': 0.45819854736328125, 'total_token': 3} and rid:1 and terminate_rid:1i0 
4.2 one step time:0.012509584426879883
4.2 one step time:0.012555599212646484
4.2 one step time:0.012365102767944336
4.2 one step time:0.012371540069580078
4.2 one step time:0.012376785278320312
4.2 one step time:0.012381315231323242
4.2 one step time:0.012380599975585938
4.2 one step time:0.012384891510009766
4.2 one step time:0.012398481369018555
4.2 one step time:0.012354135513305664
4.2 one step time:0.012366771697998047
4.2 one step time:0.012359619140625
4.2 one step time:0.012367725372314453
4.2 one step time:0.012350082397460938
4.2 one step time:0.012348651885986328
4.2 one step time:0.012372732162475586
4.2 one step time:0.012396574020385742
4.2 one step time:0.01242375373840332
4.2 one step time:0.012404441833496094
4.2 one step time:0.012367010116577148
4.2 one step time:0.01236104965209961
4.2 one step time:0.012366533279418945
4.2 one step time:0.012361764907836914
4.2 one step time:0.012377023696899414
4.2 one step time:0.01236867904663086
4.2 one step time:0.012368917465209961
4.2 one step time:0.012371063232421875
4.2 one step time:0.012384653091430664
4.2 one step time:0.012372732162475586
4.2 one step time:0.012375831604003906
4.2 one step time:0.012346506118774414
4.2 one step time:0.01234745979309082
4.2 one step time:0.012372016906738281
4.2 one step time:0.012431144714355469
4.2 one step time:0.012361526489257812
4.2 one step time:0.012375831604003906
4.2 one step time:0.01236414909362793
4.2 one step time:0.012395858764648438
4.2 one step time:0.012390375137329102
4.2 one step time:0.01238250732421875
4.2 one step time:0.012354612350463867
4.2 one step time:0.012351036071777344
4.2 one step time:0.012401103973388672
4.2 one step time:0.01238250732421875
4.2 one step time:0.012375593185424805
4.2 one step time:0.012346506118774414
4.2 one step time:0.012378215789794922
4.2 one step time:0.012377262115478516
4.2 one step time:0.012417793273925781
4.2 one step time:0.012436389923095703
4.2 one step time:0.012384414672851562
4.2 one step time:0.01237630844116211
4.2 one step time:0.01238703727722168
4.2 one step time:0.0123748779296875
4.2 one step time:0.012382745742797852
4.2 one step time:0.012348651885986328
4.2 one step time:0.012380361557006836
4.2 one step time:0.01238393783569336
4.2 one step time:0.012421846389770508
4.2 one step time:0.012426376342773438
4.2 one step time:0.012380838394165039
4.2 one step time:0.0123748779296875
4.2 one step time:0.01239013671875
4.2 one step time:0.012414216995239258
4.2 one step time:0.01272439956665039
4.2 one step time:0.012408733367919922
4.2 one step time:0.012412548065185547
4.2 one step time:0.012461662292480469
4.2 one step time:0.012593984603881836
4.2 one step time:0.012424468994140625
4.2 one step time:0.012366771697998047
4.2 one step time:0.012390375137329102
4.2 one step time:0.01237797737121582
4.2 one step time:0.012369155883789062
4.2 one step time:0.012403249740600586
4.2 one step time:0.012385368347167969
4.2 one step time:0.012379646301269531
4.2 one step time:0.012466669082641602
4.2 one step time:0.012492179870605469
4.2 one step time:0.012425422668457031
4.2 one step time:0.012385129928588867
4.2 one step time:0.012401819229125977
4.2 one step time:0.012340307235717773
4.2 one step time:0.012370824813842773
4.2 one step time:0.012370824813842773
4.2 one step time:0.012390851974487305
4.2 one step time:0.012385129928588867
4.2 one step time:0.012401819229125977
4.2 one step time:0.012349367141723633
4.2 one step time:0.012341976165771484
4.2 one step time:0.012363910675048828
4.2 one step time:0.012374162673950195
4.2 one step time:0.01236867904663086
4.2 one step time:0.012370824813842773
4.2 one step time:0.012356281280517578
4.2 one step time:0.012417793273925781
4.2 one step time:0.012400388717651367
4.2 one step time:0.012416839599609375
4.2 one step time:0.012374639511108398
4.2 one step time:0.01236724853515625
4.2 one step time:0.012384176254272461
4.2 one step time:0.012362003326416016
4.2 one step time:0.012401103973388672
4.2 one step time:0.012380599975585938
4.2 one step time:0.012351036071777344
4.2 one step time:0.012389898300170898
4.2 one step time:0.012365341186523438
4.2 one step time:0.012381792068481445
4.2 one step time:0.012367010116577148
4.2 one step time:0.012356996536254883
4.2 one step time:0.012395620346069336
4.2 one step time:0.012359142303466797
4.2 one step time:0.012405157089233398
4.2 one step time:0.012411832809448242
4.2 one step time:0.012364625930786133
4.2 one step time:0.012372732162475586
4.2 one step time:0.012388467788696289
4.2 one step time:0.012390851974487305
4.2 one step time:0.012365579605102539
4.2 one step time:0.012370109558105469
4.2 one step time:0.012356996536254883
4.2 one step time:0.01238393783569336
4.2 one step time:0.012371540069580078
4.2 one step time:0.012352705001831055
4.2 one step time:0.01237940788269043
4.2 one step time:0.012369871139526367
4.2 one step time:0.012387514114379883
4.2 one step time:0.012390613555908203
4.2 one step time:0.01237177848815918
4.2 one step time:0.012381553649902344
4.2 one step time:0.012371301651000977
4.2 one step time:0.012382030487060547
4.2 one step time:0.012400388717651367
4.2 one step time:0.012647151947021484
4.2 one step time:0.012677907943725586
4.2 one step time:0.012445688247680664
4.2 one step time:0.012444496154785156
4.2 one step time:0.01240396499633789
4.2 one step time:0.012375593185424805
4.2 one step time:0.012384891510009766
4.2 one step time:0.01238250732421875
4.2 one step time:0.012350320816040039
4.2 one step time:0.012377500534057617
4.2 one step time:0.012356758117675781
4.2 one step time:0.012398481369018555
4.2 one step time:0.012438535690307617
4.2 one step time:0.012392044067382812
4.2 one step time:0.012379169464111328
4.2 one step time:0.012377262115478516
4.2 one step time:0.012362480163574219
4.2 one step time:0.012375593185424805
4.2 one step time:0.012369155883789062
4.2 one step time:0.01237177848815918
4.2 one step time:0.012374162673950195
4.2 one step time:0.012395858764648438
4.2 one step time:0.012368917465209961
4.2 one step time:0.012352705001831055
4.2 one step time:0.012360095977783203
4.2 one step time:0.012387990951538086
4.2 one step time:0.012370109558105469
4.2 one step time:0.01238107681274414
4.2 one step time:0.012395620346069336
4.2 one step time:0.012362957000732422
4.2 one step time:0.01235055923461914
4.2 one step time:0.012374162673950195
4.2 one step time:0.012379884719848633
4.2 one step time:0.012445926666259766
4.2 one step time:0.012583732604980469
4.2 one step time:0.012729883193969727
4.2 one step time:0.012404918670654297
4.2 one step time:0.012386322021484375
4.2 one step time:0.01238250732421875
4.2 one step time:0.01237940788269043
4.2 one step time:0.012400627136230469
4.2 one step time:0.012429237365722656
4.2 one step time:0.012380361557006836
4.2 one step time:0.012402057647705078
4.2 one step time:0.012430429458618164
4.2 one step time:0.012387275695800781
4.2 one step time:0.012382745742797852
4.2 one step time:0.012357711791992188
4.2 one step time:0.012348651885986328
4.2 one step time:0.012424707412719727
4.2 one step time:0.012382984161376953
4.2 one step time:0.012397527694702148
4.2 one step time:0.012364864349365234
4.2 one step time:0.012364864349365234
4.2 one step time:0.012353181838989258
4.2 one step time:0.012364625930786133
4.2 one step time:0.012377500534057617
4.2 one step time:0.012353658676147461
4.2 one step time:0.01239633560180664
4.2 one step time:0.012399911880493164
4.2 one step time:0.012440204620361328
4.2 one step time:0.012423515319824219
4.2 one step time:0.012356996536254883
4.2 one step time:0.01237034797668457
4.2 one step time:0.01236581802368164
4.2 one step time:0.012372970581054688
4.2 one step time:0.012348413467407227
4.2 one step time:0.012384891510009766
4.2 one step time:0.012393712997436523
4.2 one step time:0.012376785278320312
4.2 one step time:0.012419462203979492
4.2 one step time:0.012395620346069336
4.2 one step time:0.012356758117675781
4.2 one step time:0.012380123138427734
4.2 one step time:0.012374639511108398
4.2 one step time:0.012398719787597656
4.2 one step time:0.012410879135131836
4.2 one step time:0.012354135513305664
4.2 one step time:0.012399673461914062
4.2 one step time:0.01238560676574707
4.2 one step time:0.012408971786499023
4.2 one step time:0.012392044067382812
4.2 one step time:0.012357473373413086
4.2 one step time:0.012372970581054688
4.2 one step time:0.01238250732421875
4.2 one step time:0.012347936630249023
4.2 one step time:0.012350797653198242
4.2 one step time:0.012383699417114258
4.2 one step time:0.012373208999633789
4.2 one step time:0.012385368347167969
4.2 one step time:0.012409448623657227
4.2 one step time:0.01240396499633789
4.2 one step time:0.012407541275024414
4.2 one step time:0.012384891510009766
4.2 one step time:0.012385845184326172
4.2 one step time:0.012381792068481445
4.2 one step time:0.012359857559204102
4.2 one step time:0.012382268905639648
4.2 one step time:0.012357234954833984
4.2 one step time:0.012428045272827148
4.2 one step time:0.01237940788269043
4.2 one step time:0.012392520904541016
4.2 one step time:0.012357950210571289
4.2 one step time:0.0123748779296875
4.2 one step time:0.012408018112182617
4.2 one step time:0.01236724853515625
4.2 one step time:0.012368202209472656
4.2 one step time:0.012356281280517578
4.2 one step time:0.012410402297973633
4.2 one step time:0.012407541275024414
4.2 one step time:0.012399673461914062
4.2 one step time:0.012387752532958984
4.2 one step time:0.012395143508911133
4.2 one step time:0.01238250732421875
4.2 one step time:0.012389421463012695
4.2 one step time:0.012386083602905273
4.2 one step time:0.0123748779296875
4.2 one step time:0.01267099380493164
4.2 one step time:0.03387570381164551
4.2 one step time:0.031931400299072266
4.2 one step time:0.012732267379760742
4.2 one step time:0.012418031692504883
4.2 one step time:0.012383222579956055
4.2 one step time:0.012369632720947266
4.2 one step time:0.012384176254272461
4.2 one step time:0.01238393783569336
4.2 one step time:0.012420892715454102
4.2 one step time:0.01244211196899414
4.2 one step time:0.012359142303466797
4.2 one step time:0.012384414672851562
4.2 one step time:0.012411117553710938
4.2 one step time:0.012400150299072266
4.2 one step time:0.012388944625854492
4.2 one step time:0.012387752532958984
4.2 one step time:0.012367963790893555
4.2 one step time:0.012391090393066406
4.2 one step time:0.012397050857543945
4.2 one step time:0.012434005737304688
4.2 one step time:0.012396097183227539
4.2 one step time:0.012377023696899414
4.2 one step time:0.012365579605102539
4.2 one step time:0.012349843978881836
4.2 one step time:0.01239013671875
4.2 one step time:0.012360811233520508
4.2 one step time:0.012379646301269531
4.2 one step time:0.012419462203979492
4.2 one step time:0.012388944625854492
4.2 one step time:0.012399673461914062
4.2 one step time:0.012398481369018555
4.2 one step time:0.012401342391967773
4.2 one step time:0.012363910675048828
4.2 one step time:0.01239466667175293
4.2 one step time:0.012350082397460938
4.2 one step time:0.012381315231323242
4.2 one step time:0.012387990951538086
4.2 one step time:0.012407541275024414
4.2 one step time:0.012412309646606445
4.2 one step time:0.012387275695800781
4.2 one step time:0.012426614761352539
4.2 one step time:0.012450456619262695
4.2 one step time:0.012656450271606445
4.2 one step time:0.012657642364501953
4.2 one step time:0.012639760971069336
4.2 one step time:0.012404203414916992
4.2 one step time:0.012453794479370117
4.2 one step time:0.012396574020385742
4.2 one step time:0.012374162673950195
4.2 one step time:0.012389659881591797
4.2 one step time:0.012387752532958984
4.2 one step time:0.012411355972290039
4.2 one step time:0.012624740600585938
4.2 one step time:0.012389898300170898
4.2 one step time:0.012400627136230469
4.2 one step time:0.012383699417114258
4.2 one step time:0.012335062026977539
4.2 one step time:0.012372970581054688
4.2 one step time:0.012411355972290039
4.2 one step time:0.012375116348266602
4.2 one step time:0.012371063232421875
4.2 one step time:0.01238870620727539
4.2 one step time:0.012394189834594727
4.2 one step time:0.012397289276123047
4.2 one step time:0.012392520904541016
4.2 one step time:0.012411832809448242
4.2 one step time:0.012356042861938477
4.2 one step time:0.012369871139526367
4.2 one step time:0.012384891510009766
4.2 one step time:0.012366533279418945
4.2 one step time:0.012398004531860352
4.2 one step time:0.012365579605102539
4.2 one step time:0.012396574020385742
4.2 one step time:0.012378454208374023
4.2 one step time:0.012414932250976562
4.2 one step time:0.012406110763549805
4.2 one step time:0.01238250732421875
4.2 one step time:0.012378454208374023
4.2 one step time:0.012403011322021484
4.2 one step time:0.012443304061889648
4.2 one step time:0.012480974197387695
4.2 one step time:0.0123748779296875
4.2 one step time:0.012372970581054688
4.2 one step time:0.012388229370117188
4.2 one step time:0.01238107681274414
4.2 one step time:0.012398481369018555
4.2 one step time:0.012356996536254883
4.2 one step time:0.012380838394165039
4.2 one step time:0.012380838394165039
4.2 one step time:0.01239633560180664
4.2 one step time:0.012388229370117188
4.2 one step time:0.012387514114379883
4.2 one step time:0.01237797737121582
4.2 one step time:0.01240992546081543
4.2 one step time:0.012486457824707031
4.2 one step time:0.012383699417114258
4.2 one step time:0.012382984161376953
4.2 one step time:0.012392282485961914
4.2 one step time:0.012391328811645508
4.2 one step time:0.012381553649902344
4.2 one step time:0.012379646301269531
4.2 one step time:0.012374639511108398
4.2 one step time:0.012390851974487305
4.2 one step time:0.012411117553710938
4.2 one step time:0.012408971786499023
4.2 one step time:0.012365341186523438
4.2 one step time:0.01242375373840332
4.2 one step time:0.012392044067382812
4.2 one step time:0.012387275695800781
4.2 one step time:0.012360811233520508
4.2 one step time:0.012449502944946289
4.2 one step time:0.012387990951538086
4.2 one step time:0.012394905090332031
4.2 one step time:0.012421131134033203
4.2 one step time:0.012400627136230469
4.2 one step time:0.012396574020385742
4.2 one step time:0.012387752532958984
4.2 one step time:0.012382984161376953
4.2 one step time:0.012364625930786133
4.2 one step time:0.012387275695800781
4.2 one step time:0.012374162673950195
4.2 one step time:0.012382745742797852
4.2 one step time:0.012423038482666016
4.2 one step time:0.012412786483764648
4.2 one step time:0.012398481369018555
INFO 10-28 15:48:40 metrics.py:363] Avg prompt throughput: 1694.5 tokens/s, Avg generation throughput: 77.3 tokens/s, Running: 1 reqs, Swapped: 0 reqs, Pending: 0 reqs, GPU KV cache usage: 0.3%, CPU KV cache usage: 0.0%.
INFO 10-28 15:48:40 metrics.py:379] Prefix cache hit rate: GPU: 55.54%, CPU: 0.00%
4.2 one step time:0.012401580810546875
4.2 one step time:0.012418746948242188
4.2 one step time:0.012382268905639648
4.2 one step time:0.01237630844116211
4.2 one step time:0.012383460998535156
4.2 one step time:0.012375831604003906
4.2 one step time:0.012388944625854492
4.2 one step time:0.012417316436767578
4.2 one step time:0.012408971786499023
4.2 one step time:0.012392282485961914
4.2 one step time:0.012400388717651367
4.2 one step time:0.012393474578857422
4.2 one step time:0.012359619140625
4.2 one step time:0.012393474578857422
4.2 one step time:0.012384414672851562
4.2 one step time:0.012390613555908203
4.2 one step time:0.012385129928588867
4.2 one step time:0.012459278106689453
4.2 one step time:0.012376070022583008
4.2 one step time:0.012369871139526367
4.2 one step time:0.012368440628051758
4.2 one step time:0.01237940788269043
4.2 one step time:0.012392520904541016
4.2 one step time:0.012372732162475586
4.2 one step time:0.012369155883789062
4.2 one step time:0.012391090393066406
4.2 one step time:0.012388467788696289
4.2 one step time:0.012419462203979492
4.2 one step time:0.012390851974487305
4.2 one step time:0.012383460998535156
4.2 one step time:0.0124053955078125
4.2 one step time:0.012389659881591797
4.2 one step time:0.01240682601928711
4.2 one step time:0.012430191040039062
4.2 one step time:0.012387275695800781
4.2 one step time:0.012402057647705078
4.2 one step time:0.012434244155883789
4.2 one step time:0.012399673461914062
4.2 one step time:0.012409687042236328
4.2 one step time:0.012386798858642578
4.2 one step time:0.012404203414916992
4.2 one step time:0.012361764907836914
4.2 one step time:0.012411117553710938
4.2 one step time:0.01238870620727539
4.2 one step time:0.012399673461914062
4.2 one step time:0.012398481369018555
4.2 one step time:0.01240229606628418
4.2 one step time:0.012432575225830078
4.2 one step time:0.012407779693603516
4.2 one step time:0.01244211196899414
4.2 one step time:0.01239466667175293
4.2 one step time:0.012407064437866211
4.2 one step time:0.01243901252746582
4.2 one step time:0.012417793273925781
4.2 one step time:0.012403249740600586
4.2 one step time:0.012424707412719727
4.2 one step time:0.012411355972290039
4.2 one step time:0.012374401092529297
4.2 one step time:0.012392044067382812
4.2 one step time:0.012400150299072266
4.2 one step time:0.012398004531860352
4.2 one step time:0.012378454208374023
4.2 one step time:0.012394189834594727
4.2 one step time:0.01240682601928711
4.2 one step time:0.01242518424987793
4.2 one step time:0.012443780899047852
4.2 one step time:0.012433528900146484
4.2 one step time:0.01239633560180664
4.2 one step time:0.012420415878295898
4.2 one step time:0.012403249740600586
4.2 one step time:0.012384414672851562
4.2 one step time:0.012374639511108398
4.2 one step time:0.012411355972290039
4.2 one step time:0.01243281364440918
4.2 one step time:0.012434959411621094
4.2 one step time:0.01249074935913086
4.2 one step time:0.012676239013671875
4.2 one step time:0.012601613998413086
4.2 one step time:0.012647628784179688
4.2 one step time:0.012432336807250977
4.2 one step time:0.012397289276123047
4.2 one step time:0.012457847595214844
4.2 one step time:0.012409448623657227
4.2 one step time:0.012407064437866211
4.2 one step time:0.012389183044433594
4.2 one step time:0.012382030487060547
4.2 one step time:0.012797355651855469
4.2 one step time:0.012614011764526367
4.2 one step time:0.012598037719726562
4.2 one step time:0.012412071228027344
4.2 one step time:0.012404441833496094
4.2 one step time:0.012391328811645508
4.2 one step time:0.012404441833496094
4.2 one step time:0.012394189834594727
4.2 one step time:0.012391328811645508
4.2 one step time:0.01239633560180664
4.2 one step time:0.012413501739501953
4.2 one step time:0.01242828369140625
4.2 one step time:0.012388944625854492
4.2 one step time:0.012392044067382812
4.2 one step time:0.01240086555480957
4.2 one step time:0.012382268905639648
4.2 one step time:0.012378692626953125
4.2 one step time:0.012378931045532227
4.2 one step time:0.012369871139526367
4.2 one step time:0.012398481369018555
4.2 one step time:0.012379884719848633
4.2 one step time:0.012392759323120117
4.2 one step time:0.012414932250976562
4.2 one step time:0.012398958206176758
4.2 one step time:0.012400150299072266
4.2 one step time:0.012357950210571289
4.2 one step time:0.012386560440063477
4.2 one step time:0.012420892715454102
4.2 one step time:0.012380361557006836
4.2 one step time:0.012381315231323242
4.2 one step time:0.01239633560180664
4.2 one step time:0.012386560440063477
4.2 one step time:0.012406587600708008
4.2 one step time:0.012415409088134766
4.2 one step time:0.01259303092956543
4.2 one step time:0.012479543685913086
4.2 one step time:0.012348413467407227
4.2 one step time:0.012359619140625
4.2 one step time:0.012424707412719727
4.2 one step time:0.012383699417114258
4.2 one step time:0.012386322021484375
4.2 one step time:0.01240849494934082
4.2 one step time:0.012452840805053711
4.2 one step time:0.012430429458618164
4.2 one step time:0.012393474578857422
4.2 one step time:0.012563467025756836
4.2 one step time:0.030568599700927734
4.2 one step time:0.028351306915283203
4.2 one step time:0.012608051300048828
4.2 one step time:0.012379884719848633
4.2 one step time:0.01237797737121582
4.2 one step time:0.01237344741821289
4.2 one step time:0.012381792068481445
4.2 one step time:0.012370586395263672
4.2 one step time:0.012439250946044922
4.2 one step time:0.012415409088134766
4.2 one step time:0.01239633560180664
4.2 one step time:0.012412548065185547
4.2 one step time:0.01237344741821289
4.2 one step time:0.01237344741821289
4.2 one step time:0.012396574020385742
4.2 one step time:0.012388229370117188
4.2 one step time:0.012394428253173828
4.2 one step time:0.012425422668457031
4.2 one step time:0.01242971420288086
4.2 one step time:0.01242208480834961
4.2 one step time:0.012406349182128906
4.2 one step time:0.012408018112182617
4.2 one step time:0.012392759323120117
4.2 one step time:0.012415409088134766
4.2 one step time:0.012449264526367188
4.2 one step time:0.012386560440063477
4.2 one step time:0.012394189834594727
4.2 one step time:0.012415170669555664
4.2 one step time:0.012464284896850586
4.2 one step time:0.012393951416015625
4.2 one step time:0.012389898300170898
4.2 one step time:0.012378215789794922
4.2 one step time:0.012376785278320312
4.2 one step time:0.012378931045532227
4.2 one step time:0.012387275695800781
4.2 one step time:0.012395381927490234
4.2 one step time:0.012387752532958984
4.2 one step time:0.012408971786499023
4.2 one step time:0.012529850006103516
4.2 one step time:0.012688636779785156
4.2 one step time:0.012451410293579102
4.2 one step time:0.012396097183227539
4.2 one step time:0.01238250732421875
4.2 one step time:0.012379884719848633
4.2 one step time:0.01237344741821289
4.2 one step time:0.012407064437866211
4.2 one step time:0.01241922378540039
4.2 one step time:0.012393474578857422
4.2 one step time:0.012395858764648438
4.2 one step time:0.012432575225830078
4.2 one step time:0.012393712997436523
